일자,기업명,분야,투자금,단계,투자사
2018-08-31,인프랩,교육,5억원,,본엔젤스
2018-09-03,티오리,보안,비공개,,네이버
2018-09-03,화해,뷰티,50억원,시리즈B,"HB인베스트먼트, 대신증권, KB증권, 나이스F&I"
2018-09-03,페리지에어로스페이스,우주,비공개,지원금,팁스
2018-09-05,기술자숲,플랫폼,비공개,시드투자,콜즈다이나믹스
2018-09-05,자란다,교육,9억원,,"카카오벤처스, 500스타트업"
2018-09-05,링크샵스,플랫폼,115억원,,"알토스벤처스, 포레스트파트너스, 테크톤벤처스, KT인베스트먼트, 현대투자파트너스, 패쓰파인더에이치, CKD창업투자, KB인베스트먼트, 알바트로스 인베스트먼트"
2018-09-05,고피자,푸드테크,10억원,,"캡스톤파트너스, 은행권청년창업재단 디캠프, 빅베이슨캐피탈"
2018-09-05,꾸까,플랫폼,30억원,시리즈A,"KB인베스트먼트, 아주IB, SBI 인베스트먼트"
2018-09-06,더블유디자인호텔,여행,비공개,인수합병,야놀자
2018-09-06,미소,홈클리닝,90억원,,"와이콤비네이터, 애드벤처, 펀더스클럽, 소셜캐피탈"
2018-09-06,서울로보틱스,소프트웨어,비공개,시드,"KB인베스트먼트, KDBC-FP 테크넥스트펀드, Zeroth"
2018-09-06,레드벨벳벤처스,핀테크,비공개,퍼스트펭귄 기업,신용보증기금
2018-09-10,세이지리서치,,2억원,시드,"한국야스카와전기, 스프링캠프"
2018-09-11,황학동온라인,플랫폼,비공개,시드 투자,매쉬업엔젤스
2018-09-12,백패커,플랫폼,160억원,,"스톤브릿지벤처스, 알토스벤처스, 글로벌브레인, IMM인베스트먼트, 대교인베스트먼트, 미래에셋캐피탈, 스마일게이트, 키움증권"
2018-09-12,포지큐브,AI,4억원,시드,캡스톤파트너스
2018-09-13,중고나라,플랫폼,50억원,,NHN페이코
2018-09-14,투미유,교육,비공개,,스프링캠프
2018-09-18,스파크플러스,공유오피스,200억원,시리즈A,"인터베스트, 스틱벤처스외 4곳"
2018-09-19,두잉랩,딥러닝,비공개,,D2SF
2018-09-19,아토머스,멘탈케어,비공개,,D2SF
2018-09-19,아모랩,헬스케어,비공개,,D2SF
2018-09-19,클로버게임즈,게임,100억원,시리즈A,"헤이스팅스 자산운용, DSC인베스트먼트"
2018-09-20,올라펫,반려동물,비공개,,KB국민카드
2018-09-20,핏펫,반려동물,비공개,,미래에셋-GS리테일
2018-09-20,마켓컬리,푸드,670억원,시리즈C,"세마트랜스링크 인베스트먼트, 한국투자파트너스, 세콰이어 차이나"
2018-09-20,업라이즈,핀테크,7억원,시드,"슈미트, 케이비인베스트먼트, 카카오벤처스, 베이스인베스트먼트, 디에스씨인베스트먼트"
2018-09-21,젤라또랩,뷰티,70억원,시리즈A,컴퍼니케이파트너스
2018-09-21,애드오에스,블록체인,10억원,,지메이코리아
2018-09-21,퓨처월드,3D홀로그램,비공개,,프라이머
2018-09-28,캐스팅엔,플랫폼,비공개,,마그나 인베스트먼트 (팁스)
2018-09-28,클래스팅,교육,66억원,,"미슬토, 한국산업은행"
2018-10-01,페리지에어로스페이스,우주,비공개,시드,이노폴리스파트너스
2018-10-02,쿨잼컴퍼니,AI,비공개,,스프링캠프
2018-10-02,휴먼스케이프,헬스케어,35억원,시리즈 A,"케어랩스, 사모펀드"
2018-10-02,에스오에스랩,자율주행,68억원,시리즈A,"만도, 산은캐피탈, 미래에셋, 한컴인베스트먼트, 현대투자파트너스, 에스엘인베스트먼트, 더블유엠인베스트먼트, 비에이파트너스, 유경피에스지자산운용, 퓨처플레이"
2018-10-02,레티널,AR,40억원,시리즈A,"카카오벤처스, DSC인베스트먼트, 코리아에셋증권,네이버, 플래티넘기술투자"
2018-10-02,메디픽셀,AI,3억4000만원,,"AI엔젤클럽, 한국벤처투자"
2018-10-02,에멘탈,핀테크,16억원,시리즈A,"부산은행, 신용보증기금, 올림제1호사모투자조합과 개인엔젤"
2018-10-04,노드브릭,게임,5억원,,"넵튠, 두나무앤파트너스"
2018-10-10,8퍼센트,핀테크,60억원,,DSC인베스트먼트
2018-10-15,아트투게더,플랫폼,비공개,,한국투자파트너스
2018-10-16,산타,교육,10억원,프리시리즈 A,"NICE에프앤아이, 부산연합기술지주, 스탠다드스펜서"
2018-10-16,네오사피엔스,AI,10억원,프리시리즈 A,우리기술투자
2018-10-17,베스핀글로벌,AI 클라우드 매니지먼트,870억원,시리즈 B,"디와이홀딩스, ST텔레미디어"
2018-10-17,로지스팟,물류,19억원,시리즈A,"카카오벤처스, 스파크랩스벤처스"
2018-10-17,공부선배,교육,10억원,시리즈A,티에스인베스트먼트
2018-10-18,런치팩,솔루션,1억원,,쿨리지코너인베스트먼트
2018-10-18,버킷플레이스,인테리어,비공개,,네이버
2018-10-18,하비풀,플랫폼,비공개,,서울산업진흥원
2018-10-22,스터디파이,교육,12억원,,알토스벤처스
2018-10-23,유커넥,MCN,비공개,,아모레퍼시픽
2018-10-24,스토어카메라,,4억4000만원,프리시리즈A,"빅뱅엔젤스, 롯데액셀러레이터, 로아인벤션랩"
2018-10-25,커먼컴퓨터,블록체인클라우드,비공개,시드,"패스트인베스트먼트, 엑세스 벤처스, 조원규 스켈터랩스 대표"
2018-10-25,마도로스,플랫폼,30억원,,코어자산운용
2018-10-25,아크릴,인공지능,25억원,지분투자,SK C&C
2018-10-30,피플펀드,핀테크,123억원,시리즈B,"데일리금융그룹, 카카오페이, 500스타트업스, 디쓰리쥬빌리파트너스, 모루자산운용, 유경자산운용"
2018-10-30,라프텔,애니매이션,20억원,,"카카오벤처스, 유니온투자파트너스, 화이인베스트먼트,아이디벤처스"
2018-10-30,레이니스트,핀테크,140억원,시리즈B,"컴퍼니K, 두나무앤파트너스, 에이티넘파트너스, KB인베스트먼트, 뮤렉스파트너스, 베이스인베스트먼트"
2018-10-30,먼치팩토리,플랫폼,비공개,,매쉬업엔젤스
2018-10-31,집토스,부동산,비공개,,팁스
2018-10-31,BBB,헬스케어,165억원,시리즈B,"미래에셋캐피탈,보광창업투자, 동화약품, 에스케이증권, 에이치비인베스트먼트, 유나이티드파트너스자산운용, 인벡스자산운용, 유비쿼스인베스트먼트, 한국산업은행"
2018-11-01,펫프렌즈,반려동물,40억원,,"뮤렉스 파트너스, DS앤파트너스, 킹슬리벤처스"
2018-11-02,에바,전기차 충전,비공개,시드,네이버D2SF
2018-11-06,리메세,뷰티,10억원,,카카오벤처스
2018-11-07,브랜드뉴테크,디자인,비공개,,"인포뱅크, 엔텔스, 비티씨인베스트먼트"
2018-11-09,라엘,소비제,200억원,시리즈A,"GS리테일, 미래에셋 소프트뱅크벤처스, 에이티넘 파트너스, 슈피겐, 뱀벤처스"
2018-11-09,히든트랙,일정관리,비공개,,"아모레퍼시픽, 팁스"
2018-11-09,프레시코드,푸드,비공개,,"엘로우독, 롯데액셀러레이터, 블루포인트파트너스"
2018-11-12,빅밸류,부동산,20억원,시리즈A,"KDB산업은행, 신한은행, 하나은행, 인라이트벤처스"
2018-11-12,밍글콘,교육,비공개,시리즈A,개인엔젤투자자
2018-11-12,룩시드랩스,"VR,AR",40억원,시리즈A,"헤이스팅스자산운용, 대성창업투자, 세종벤처파트너스, 삼성벤처투자"
2018-11-12,핏펫,반려동물,5억원,,팁스
2018-11-12,스트라드비젼,자율주행,165억원,시리즈A,"글로벌브레인, 현대차, 현대모비스, LG전자"
2018-11-13,렌딧,핀테크,70억원,,"크레비스-라임 임팩트 벤처펀드, 옐로우독, 콜라보레이티브 펀드, 알토스벤처스"
2018-11-13,한국축산데이터,축산,13억원,,"패스트인베스트먼트, 신용보증기금, 코리아오메가투자금융"
2018-11-19,비트나인,데이터베이스,70억원,,"산업은행과 기업은행, 포스코기술투자"
2018-11-19,태그솔루션,디스플레이,5억원,,"스프링캠프, 연세대학교기술지주회사"
2018-11-20,에듀캐스트,교육,12억원,,"카카오벤처스, 솔본인베스트먼트"
2018-11-20,엔젠바이오,헬스케어,120억원,,"한국벤처투자, UTC인베스트먼트, IMM인베스트먼트, DSC인베스트먼트"
2018-11-21,그린랩스,스마트농업,20억원,프리시리즈A,"마그나인베스트먼트, CKD창업투자"
2018-11-21,쿠팡,커머스,2조2500억원,,소프트뱅크
2018-11-21,스틸에잇,이스포츠,50억원,,넵튠
2018-11-22,어메이저,영상,14억원,시리즈A,"비티씨인베스트먼트, ICB"
2018-11-23,블랙펄시큐리티,보안,비공개,인수합병,에버스핀
2018-11-27,설레유치원,교육,비공개,인수합병,스터디파이
2018-11-27,더블에스,소비제,1억원,,대구창조경제혁신센터
2018-11-28,위아프렌즈,매칭서비스,비공개,,와이앤아처
2018-11-28,더맘마,무인센서개발,비공개,,팁스
2018-12-02,와탑랩스,클라우드,25억원,시리즈A,"케이비인베스트먼트, 카카오벤처스, 알토스벤처스"
2018-12-03,어니스트펀드,핀테크,122억원,시리즈B,"두나무앤파트너스, 뮤렉스파트너스, 한화투자증권, KB인베스트먼트, TL자산운용, 베이스인베스트먼트, HB인베스트먼트"
2018-12-04,아웃스탠딩,미디어,비공개,인수합병,리디북스
2018-12-04,타임트리,플랫폼,91억원,,"카카오벤처스, 미쯔이스미토모 파이낸셜그룹 SMBC VC,개인투자자"
2018-12-04,잇다,플랫폼,4억원,,비에스씨
2018-12-05,그린카,공유자동차,50억원,,GS 칼텍스
2018-12-06,짐티,피트니스,20억원,,"팁스, 서울대기술지주, 트러스톤 자산운용,패스트인베스트먼트"
2018-12-06,오늘회,푸드,8억원,,"수림창업투자, 대성창업투자, 은행권청년창업재단"
2018-12-06,비투링크,뷰티,170억원,,"프리미어파트너스, 포스코기술투자, 델타인베스트먼트, 산업은행, 케이프투자증권,한국콜마홀딩스,엔젤벤처스"
2018-12-06,슈가힐,부동산,47억원,,"SBI인베스트먼트, 대성창업투자, 서울투자파트너스,카카오벤처스"
2018-12-07,째깍악어,교육,12억원,,"옐로우독, HGI, KB증권"
2018-12-10,비바리퍼블리카,핀테크,900억원,,"클라이너 퍼킨스(Kleiner Perkins], 리빗 캐피털(Ribbit Capital],알토스 벤처스, 베세머 벤처 파트너스, 굿워터 캐피털, KTB 네트워크, 노벨, 페이팔, 퀄컴 벤처스"
2018-12-11,주스,뮤직,비공개,,OGQ
2018-12-12,지바카케어,헬스케어/바이오,6억원,,"스프링캠프,엔젤투자자"
2018-12-12,글로벌네트웍스,푸드,150억원,,"소프트뱅크벤처스, 알토스벤처스, 스톤브릿지벤처스, KT인베스트먼트, IMM인베스트먼트, NH농협캐피탈, 디티앤인베스트먼트, 고릴라PE"
2018-12-12,아이지넷,보험,15억원,,우리기술투자
2018-12-12,애드히어로,인플루언서 마케팅,비공개,,팁스
2018-12-13,키뮤,디자인,비공개,,메쉬업엔젤스
2018-12-17,큐라움,의료기기,3억원,,신용보증기금
2018-12-18,마인드AI,블록체인,비공개,,REDDS캐피털
2018-12-19,왁티,콘텐츠,100억원,시리즈A,"포레스트 파트너스, 삼성벤처투자, 미래에셋벤처투자, AJ 캐피탈파트너스,이수창업투자, 기술보증기금 벤처센터"
2018-12-19,에프앤에스홀딩스,콘텐츠,1억원,,컴퍼니비
2018-12-20,모비두,결제서비스,20억원,시리즈 A,"삼성넥스트, 롯데액셀러레이터, 우리은행, 링크자산운용"
2018-12-20,우아한형제,,3600억원,,"힐하우스 캐피탈, 세콰이어 캐피탈, 싱가포르투자청(GIC)"
2018-12-21,가브린트,결제서비스,20억원,프리시리즈A,디스커버리누산타라캐피털
2018-12-24,구루미,영상솔루션,6억원,,"비티씨인베스트먼트, 은행권청년창업재단"
2018-12-24,비브로스,헬스케어/바이오,90억원,시리즈C,"동아쏘시오홀딩스, 신한금융투자 외에 유비케어, 신패스홀딩스"
2018-12-24,메디퓨처스,의료기기,52억원,,"삼호그린인베스트먼트, ST캐피탈"
2018-12-25,테코플러스,친환경플라스틱,5억원,,"옐로우독과 에이치지이니셔티브(HGI], 카이트창업가재단"
2018-12-26,올룰로,킥보드공유서비스,20억원,,"코오롱인베스트먼트, L&S벤처캐피탈, DSC인베스트먼트"
2018-12-26,아미쿠스렉스,법률서비스,비공개,,팁스
2018-12-26,파츠고,모바일견적,5억원,,중우
2018-12-27,엑싱크,앱서비스,2억원,,우리은행
2018-12-31,퓨처월드,제조기업,비공개,,마그나인베스트먼트
2018-12-31,엔씽,사물인터넷,25억5000만원,,"스프링캠프, 유큐아이파트너스, 티비티"
2019-01-02,잘노는,시간제 돌봄 서비스,5억원,,디쓰리쥬빌리파트너스
2019-01-03,매스아시아,공유자전거,비공개,,"본엔젤스파트너스, TBT"
2019-01-03,골드맥스그룹,보안,10억원,,미래나노텍
2019-01-03,더화이트커뮤니케이션,온라인 오퍼레이팅,비공개,,디랩브이에스개인투자조합
2019-01-03,소테리아시스템,해킹 블랙박스,비공개,,디랩브이에스개인투자조합
2019-01-04,글로랑,유학 플랫폼,비공개,,와이앤아처
2019-01-04,앞뜰컴퍼니,골목 기반 도시재생,비공개,,디랩브이에스개인투자조합
2019-01-07,마이리얼트립,자유여행 플랫폼,170억원,,"알토스벤처스, 스마일게이트인베스트먼트, IMM인베스트먼트, IBK캐피털, 미래에셋-네이버펀드"
2019-01-08,재미엔터테인먼트,블록체인 MCN 융합,비공개,,디랩브이에스개인투자조합
2019-01-08,시그웨이힉스코리아,탈중앙화 인프라 플랫폼,비공개,,디랩브이에스개인투자조합
2019-01-08,니더,실시간 아르바이트 매칭,비공개,,롯데액셀러레이터
2019-01-08,미스터맨션,중장기 숙박 예약 플랫폼,13억원,시리즈A,"KDB산업은행, 부산연합기술지주"
2019-01-08,모두닥,병원 리뷰 플랫폼,비공개,,"스트롱벤처스, 프라이머사제파트너스, 스프링캠프, 프라이머"
2019-01-09,더플랜잇,푸드테크,15억원,시리즈A,"스톤브릿지벤처스, 롯데액셀러레이터, 퓨처플레이, KDB캐피털"
2019-01-10,큐픽스,프롭테크,60억원,,"에이티넘, 스톤브릿지, 컴퍼니케이파트너스"
2019-01-10,큐버모티브,디스플레이 제조,비공개,,컴퍼니비
2019-01-14,마인드AI,데이터 기반 추론 엔진,비공개,,제네시스캐피털
2019-01-15,소보로,AI 문자통역,5억원,,디쓰리쥬빌리파트너스
2019-01-15,쏘카,모빌리티 플랫폼,500억원,,"알토스벤처스, KB인베스트먼트, 스톤브릿지벤처스, 소프트뱅크벤처스"
2019-01-15,소셜빈,라이프스타일 용품 제조,비공개,시리즈A,"카카오벤처스, KB인베스트먼트, 플래티넘기술투자, 부산지역대학연합기술지주"
2019-01-16,둥글,해외 펜팔 서비스,2억원,시드,"AI엔젤클럽, 로아인벤션랩, 한국벤처투자"
2019-01-17,부자앱캠퍼니,투자 정보 공유 플랫폼,비공개,,유온인베스트먼트
2019-01-17,퍼플랩스,무인화 솔루션,비공개,시드,스프링캠프
2019-01-21,쿠엔즈버킷,참기름 제조,20억원,,"KDB인프라자산운용, 기술보증기금"
2019-01-22,센트비,소액 해외 송금,비공개,시리즈B,"스톤브릿지, 한화증권, 레오파트너스, 디쓰리쥬빌리파트너스"
2019-01-23,나인코퍼레이션,블록체인 게임 엔진,비공개,시드,"퓨처플레이, KDB캐피털, 베이스인베스트먼트"
2019-01-23,스페이셜,AR 협업 플랫폼,5억6550만원,,카카오벤처스
2019-01-24,제네시스랩,자율주행차 솔루션,비공개,,네이버 D2SF
2019-01-24,모라이,자율주행 시뮬레이터,비공개,,네이버 D2SF
2019-01-24,원데이즈웰,기업용 온라인 복지몰,비공개,엔젤,전문 엔젤
2019-01-24,단색,팸테크,4억원,시드,"포스코기술투자, 인천창조경제혁신세터, N15"
2019-01-24,인비토,기업형 비즈메시징,2억원,,신용보증기금
2019-01-24,메디퓨처스,초음파바이오 메디컬,10억원,,메가인베스트먼트
2019-01-25,미미박스,뷰티,395억원,시리즈D,JJDC
2019-01-25,델리오,DaaS 솔루션,50억원,,OTC마켓 글로빗
2019-01-28,컨택,데이터 분석,비공개,시드,제주창조경제혁신센터
2019-01-28,베드라디오,로컬 커뮤니티 호텔,비공개,시드,제주창조경제혁신센터
2019-01-28,모바일퉁,송금,2억원,시드,카카오벤처스
2019-01-29,에이티브,온라인 패션 셀렉트,비공개,시리즈A,"어센도벤처스, 심본투자파트너스"
2019-01-30,시큐레터,문서 보안,10억원,,우리은행
2019-01-30,오픈더테이블,공유주방,13억원,시리즈A,"카카오벤처스, 비하이인베스트먼트"
2019-01-30,마인딩,온라인 마음관리,4억원,,"본엔젤스, 스프링캠프"
2019-01-31,엔핏,온라인 트레이닝 플랫폼,11억원,,"대교, 프라이머사제파트너스, 프라이머"
2019-01-31,샌드박스네트워크,MCN,250억원,시리즈C,"TBT, 크레스코레이크파트너스, DS자산운용, NVC파트너스"
2019-01-31,플라이옵스,클라우드 스토리지 솔루션,56억원,,소프트뱅크벤처스
2019-02-01,프렌트립,여가액티비티 플랫폼,비공개,,디쓰리쥬빌리파트너스
2019-02-01,레티널,AR 솔루션,20억원,시리즈A,KB인베스트먼트
2019-02-04,델리오,DaaS,30억원,,네오에코텍
2019-02-09,그랜마찬,사내식 정기 배송,1억원,,넥스트드림엔젤클럽
2019-02-11,데일리샷,주류 멤버십,4억원,,"부산대기술지주, 스프링캠프, 연세대기술지주, 테크인베스트"
2019-02-11,헥슬란트,암호화폐 보관 서비스,4억원,,포스코기술투자
2019-02-12,포티움,훈련복 제조,2억원,,"아이디벤처스, AI엔젤클럽"
2019-02-12,트레바리,독서 커뮤니티,50억원,,"소프트뱅크벤처스, 패스트인베스트먼트"
2019-02-13,두번째,온라인 인테리어 시공,30억원,시리즈A,"GS홈쇼핑, SV인베스트먼트"
2019-02-13,메디포럼,바이오 메디컬,190억원,,"신한금융투자, 이베스트투자증권"
2019-02-14,캐시카우,마케팅플랫폼,20억원,,"엔베스터, 신한캐피털, 비에스지파트너스"
2019-02-15,하우투메리,웨딩플랫폼,100억원,,"산업은행, SV인베스트먼트, 어센도벤처스"
2019-02-18,루니미디어,PC게임 유통 플랫폼,비공개,,카카오벤처스
2019-02-19,웨저,의료챗봇,비공개,,DHP
2019-02-19,퍼블리,콘텐츠,38억원,,"DSC인베스트먼트, 인터베스트, 옐로우독, 메디아티"
2019-02-20,고스트키친,공유주방,21억원,,"패스트인베스트먼트, 베이스인베스트먼트, ES인베스터, 슈미트, 패스트파이브"
2019-02-20,머니매그넷,데이터 분석 교육,비공개,,"코사인개인투자조합, 엔젤모펀드"
2019-02-20,판이스포,판타지 e스포츠,비공개,,
2019-02-20,채티,모바일 채팅형 소셜 서비스,25억원,시리즈A,"베이스인베스트먼트, 두나무앤파트너스, 카카오벤처스"
2019-02-21,미스터마인드,챗봇빌더 플랫폼,비공개,,인포뱅크
2019-02-22,루나르트,작곡 비교 견적 플랫폼,비공개,,한양대기술지주
2019-02-22,브랜디,여성 쇼핑앱,60억원,,"미래에셋벤처투자, 세마트랜스링크인베스트먼트, 디에스자산운용"
2019-02-25,다노,다이어트 플랫폼,40억원,,"뮤렉스파트너스, SV인베스트먼트, GS홈쇼핑, 아주IB투자"
2019-02-25,마인드AI,블록체인 기반 AI 솔루션,비공개,,퀘스트캐피털
2019-02-25,닥터키친,식이요법 식단,50억원,,"옐로우독, 지앤텍벤처투자, 카카오벤처스, 미래에셋벤처투자"
2019-02-26,밸런스히어로,핀테크,비공개,시리즈B,인도 민간 상업은행
2019-02-27,포스타입,콘텐츠 플랫폼,비공개,,베이스인베스트먼트
2019-02-28,지구인컴퍼니,푸드테크,비공개,,옐로우독
2019-02-28,피알앤디컴퍼니,중고차 플랫폼,75억원,,"한국투자파트너스, 미래에셋벤처투자, 디티앤인베스트먼트, 프리미어파트너스, 코오롱인베스트먼트"
2019-02-28,테라,블록체인 핀테크,비공개,,카카오벤처스
2019-02-28,비바이노베이션,병원 플랫폼,2억원,시드,"AI엔젤클럽, 한국벤처투자"
2019-03-04,메가존클라우드,클라우드,480억원,시리즈A,"국민연금, 나우아이비캐피탈, 한국산업은행, 한국투자금융그룹, KB인베스트먼트"
2019-03-04,어썸에프엔씨,수제화 제조,비공개,시드,네오플라이
2019-03-04,단색,팸테크,비공개,,IBK 투자증권
2019-03-06,원키,차량용 스마트키 솔루션,10억원,프리시리즈A,CKD-BS 스타트업 벤처투자조합
2019-03-06,일레클,전기 자전거 공유,비공개,,쏘카
2019-03-06,바이앤어스,병원 예약 서비스,3억원,,인라이트벤처스
2019-03-06,에너자이,석유시추 AI 솔루션,비공개,시드,스프링캠프
2019-03-08,이해라이프트타일,온라인 홈퍼니싱 임대 플랫폼,비공개,시드,"인라이트벤처스, 서울투자파트너스"
2019-03-08,마피아컴퍼니,음악 콘텐츠 플랫폼,35억원,,"티비티, 피앤아이인베스트먼트, 스프링캠프"
2019-03-12,텐핑,퍼포먼스 마케팅,80억원,,"TS인베스트먼트, ES인베스터, 코로프라넥스트, 세마트랜스링크 인베스트먼트, 캡스톤파트너스"
2019-03-13,글로랑,유학 커뮤니티 운영,비공개,,카이스트창업가재단
2019-03-13,힐링페이퍼,메디컬 뷰티앱,45억원,,"프리미어파트너스, 원익투자파트너스, 스톤브릿지벤처스"
2019-03-14,스팟라이틀리,브랜드커머스,72억원,,"아이에스커머스, 산은캐피털, 송현인베스트먼트"
2019-03-15,아뵤코리아,물류 인력 매칭 플랫폼,비공개,시드,"본엔젤스, 디캠프"
2019-03-18,무비블록,영화 배급 플랫폼,비공개,시드,"온톨로지 에코시스템 펀드, 온톨로지 글로벌 캐피털"
2019-03-20,태거스,애드테크,비공개,프리시리즈A,베이스인베스트먼트
2019-03-21,컴플러스,디지털 마케팅,10억원,,우리은행
2019-03-21,마이크로시스템,스마트 유리 개발,5억원,,빅베이슨캐피털
2019-03-21,케이스타라이브,블록체인 기반 한류 콘텐츠,비공개,시리즈A,콜린스타
2019-03-22,오트웍스,스마트 모빌리티 디바이스,비공개,시드,"상상개인투자조합, 태일씨인티"
2019-03-22,로제타텍,스마트 화재 감지 시스템,비공개,시드,"상상개인투자조합, 태일씨인티"
2019-03-25,페이민트,핀테크,비공개,시리즈A,"KT인베스트먼트, 포스코기술투자"
2019-03-25,클린씨,소셜벤처,비공개,시드,비긴메이트
2019-03-26,모두싸인,간편 전자계약,25억원,시리즈A,"한국투자파트너스, ES인베스터"
2019-03-26,트리플,모바일 여행 플랫폼,300억원,시리즈B,"한국투자파트너스, KB인베스트먼트, 아주아이비투자, KTB네트워크, 스마일게이트인베스트먼트, DSC인베스트먼트, 네오플럭스, 키움인베스트먼트, 아이비캐피털/아이비케이투자증권, KB증권, 미래에셋벤처투자, 비엔에이에셋, AJ캐피털파트너스, 코사인개인투자조합"
2019-03-26,미로,마감 할인 식음료 플랫폼,비공개,프리시리즈A,"롯데액셀러레이터, 대경인베스트먼트"
2019-03-26,화이트큐브,자기계발 투자 앱,10억원,,알토스벤처스
2019-03-27,딥네추럴,AI 언어자원 수집 가공,5억원,,본엔젤스투자파트너스
2019-03-27,클레이튼,블록체인,비공개,,네오플라이
2019-03-29,컨텍,우주,3000만원,시드,제주창조경제혁신센터
2019-03-29,정육각,푸드,40억원,시리즈A,"라이트하우스컴바인인베스트, 알바트로스인베스트먼트, 캡스톤파트너스, 부산지역대학연합기술지주"
2019-04-01,엔도로보틱스,수술로봇,비공개,"시드, 팁스",고려대학교기술지주
2019-04-01,파이온코퍼레이션,동영상 광고 자동 솔루션,비공개,시드,퓨처플레이
2019-04-03,플레이팅,구내식당 서비스,비공개,,벤디스
2019-04-04,마켓컬리,모바일 마켓 커머스,1000억원,시리즈D,"세마트랜스링크 인베스트먼트, 한국투자파트너스, 세콰이어 차이나"
2019-04-05,트레이지,자유여행 플랫폼,비공개,,"스트롱벤처스, 네오플라이, 하나은행, 서울산업진흥원"
2019-04-08,마인즈랩,AI,173억원,시리즈C,"LB인베스트먼트, BSK인베스트먼트, IBK-NH 스몰자이언트 사모펀드, 큐캐피털, 하나금융투자, 중소기업은행, BNK캐피털, ETRI홀딩스"
2019-04-09,시프티,HR테크,10억원,,"빅베이슨캐피털, 해외투자자"
2019-04-10,플레이팅,구내식당 서비스,비공개,프리시리즈A,"퓨처플레이, 벤디스"
2019-04-10,수아랩,딥러닝 머신비전 소프트웨어,190억원,시리즈C,"스톤브릿지벤처스, 소프트뱅크벤처스, 디에스자산운용, 인터베스트, 인탑스인베스트먼트"
2019-04-11,클래스101,온라인 취미 플랫폼,120억원,시리즈A,"소프트뱅크벤처스, 미래에셋벤처투자, KT인베스트먼트, 스프링캠프, 스트롱벤처스"
2019-04-11,얌테이블,수산물 온라인 플랫폼,70억원,시리즈A+,"GS홈쇼핑, HB인베스트먼트, 패스파인더에이치, 디티앤인베스트먼트"
2019-04-11,솜씨당,오프라인 원데이 클래스 플랫폼,비공개,시드,"매쉬업엔젤스, 스프링캠프"
2019-04-12,잇더컴퍼니,육아 먹거리 서비스,비공개,시드,와이앤아처
2019-04-15,트렌비,명품 이커머스,20억원,,"뮤렉스파트너스, IMM인베스트먼트"
2019-04-15,코드42,모빌리티 통합 플랫폼,20억원,,현대자동차
2019-04-15,코드브릭,전자상거래 솔루션,37억원,시리즈A,"알토스벤처스, 프로디지인베스트먼트, 펄어비스캐피털"
2019-04-16,와이비소프트,의료기기 제조,40억원,,"알펜루트자산운용, 네오스프링"
2019-04-16,스낵포,맞춤형 간식 서비스,비공개,,퓨처플레이
2019-04-16,카바조,정비사 출장점검,비공개,프리시리즈A,"KB인베스트먼트, 스트롱벤처스"
2019-04-16,모니터,AI기반 의료영상 분석 솔루션,비공개,,D2 스타트업팩토리
2019-04-16,클로봇,클라우드 기반 로봇관리 플랫폼,35억원,,"롯데액셀러레이터, 현대차 제로원 액셀러레이터, 에이티넘인베스트먼트, D2스타트업팩토리, 어니스트벤처스"
2019-04-17,육그램,축산유통,30억원,시드,
2019-04-18,와그트래블,여행 액티비티 예약 플랫폼,115억원,시리즈C,"LB인베스트먼트, 컴퍼니K파트너스, SBI인베스트먼트, 알바트로스인베스트먼트, 로그인베스트먼트, 델타인베스트먼트, IBK기업은행"
2019-04-19,페오펫,모바일 반려동물 등록,비공개,,테마파크 주렁주렁
2019-04-22,디스코,프롭테크,20억원,,세마트랜스링크 인베스트먼트
2019-04-22,샌드박스네트워크,MCN,60억원,,아이스크리에이티브
2019-04-22,크래프트테크놀로지스,AI 로보어드바이저,110억원,,델타AI 유니콘투자조합
2019-04-22,위힐드,헬스케어,비공개,,스프링캠프
2019-04-23,탑펀드,P2P,10억원,,어센도벤처스
2019-04-24,마켓보로,식자재 유통 플랫폼,10억원,프리시리즈A,"베이스인베스트먼트, 엔젤투자자"
2019-04-24,라이트브라더스,자전거 중고거래 플랫폼,6억7000만원,프리시리즈A,"마젤란기술투자, IBK기업은행, 롯데액셀러레이터"
2019-04-25,보맵,인슈어테크,100억원,시리즈A,"DS자산운용, KB인베스트먼트, PIA자산운용-코나아이파트너스, KB증권-SJ파트너스, 아이디어브릿지ㅏ트너스"
2019-04-25,인포그린,유아용 화학제품 정보 플랫폼,비공개,시드,매쉬업엔젤스
2019-04-25,조이코퍼레이션,B2B 채팅 상담 솔루션,25억원,,"KB인베스트먼트, 라구나인베스트먼트"
2019-04-25,딜리셔스,B2B 패션 플랫폼,160억원,시리즈B,"스톤브릿지벤처스, 스마일게이트인베스트먼트, 디티앤인베스트먼트, 아주IB투자, DSC인베스트먼트, 베이스인베스트먼트"
2019-04-26,트위니,자율주행로봇,40억원,시리즈A,"티인베스트먼트, 케이티인베스트먼트, 신한벤처투자"
2019-04-26,매드스퀘어,소셜미디어 커머스,비공개,,"크립톤, 신한캐피탈, 코스토리"
2019-04-29,미스터가라지,중고차 통합검색 서비스,비공개,시드,본엔젤스벤처파트너스
